intersection_id,weekday,hour,volume_sum,observations,mean_volume
1068,1,9,324582.495241,438,741.0559252077626
1068,1,10,337023.780953,437,771.2214667116705
1068,1,11,345904.485709,442,782.5893341832578
1068,1,12,352617.647618,441,799.5865025351474
1068,1,13,350518.485714,441,794.8264982176871
1068,1,14,342967.780952,444,772.4499570990992
1068,1,15,311667.142859,445,700.3756019303371
1068,1,16,324416.361903,448,724.1436649620535
1068,1,17,350688.980954,448,782.7879039151786
1068,1,18,360109.304766,448,803.8154124241072
1068,1,19,363748.095234,448,811.9377125758929
1068,1,20,355864.676188,446,797.9028614080718
1068,1,21,330712.21905,444,744.8473402027028
1068,1,22,292050.209526,444,657.7707421756758
1068,1,23,231491.152381,443,522.5533913792325
1068,2,0,168426.266664,441,381.9189720272109
1068,2,1,102430.419048,444,230.699142
1068,2,2,62103.961903,444,139.87378806981982
1068,2,3,59115.057145,442,133.74447317873302
1068,2,4,87272.923805,442,197.45005385746606
1068,2,5,92231.695239,444,207.72904333108107
1068,2,6,149629.371425,444,337.003088795045
1068,2,7,275817.314285,443,622.6124475959367
1068,2,8,319883.523808,444,720.458386954955
1068,2,9,331288.971427,444,746.1463320427928
1068,2,10,345612.990474,444,778.4076362027026
1068,2,11,350706.62857400003,443,791.6628184514674
1068,2,12,353940.771429,442,800.7709760837105
1068,2,13,355043.628573,443,801.4528861693003
1068,2,14,345332.64762,442,781.2955828506788
1068,2,15,315822.895239,444,711.3128271148648
1068,2,16,325183.999999,443,734.0496613972912
1068,2,17,344573.761902,440,783.1221861409091
1068,2,18,357210.247618,440,811.8414718590909
1068,2,19,358036.46666700003,440,813.7192424250001
1068,2,20,353750.47619,443,798.5338062979685
1068,2,21,335289.695243,443,756.861614544018
1068,2,22,302961.580956,448,676.2535289196429
1068,2,23,243568.123811,444,548.5768554301802
1068,3,0,181325.980949,441,411.17002482766435
1068,3,1,113136.609524,444,254.8121836126126
1068,3,2,67317.371434,444,151.61570142792792
1068,3,3,61176.657143000004,446,137.16739269730942
